molecule (Canonical/Isomeric SMILES),bacteria,MIC (µmol mL−1),MIC (µg mL−1),doi,id,type,group,group_name,Unnamed: 9,Molecular weight,MIC,log MIC,S. aureus,E. coli,Unnamed: 15,SAScore,MolWt,TPSA,HBD,HBA,RotatableBonds,LogP,QED Score
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c. 25922, E. coli25922",,16.0,10.1002/cjoc.202200326,6h,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,424.5260000000002,37.68909324752781,1.5762156889929262,-,+,,9.009649424080628,424.5260000000002,85.24999999999999,2.0,6.0,5.0,3.8943600000000034,0.6086467107714063
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1a,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,фторхинолон,,397.41000000000014,161.04275181802163,2.206941182950961,-,+,нет бензимидазола,8.831672371174363,397.41000000000014,91.56,1.0,7.0,4.0,1.9753,0.7196766644756158
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,1.0,https://doi.org/10.1016/j.bmcl.2022.128885,1b,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,2.430505763944418,0.3856966553411458,-,+,,8.844935591952018,411.4370000000002,91.56,1.0,7.0,4.0,2.28372,0.7042293500328689
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)N)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,16.0,https://doi.org/10.1016/j.bmcl.2022.128885,1c,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,412.42500000000007,38.79493241195368,1.5887749995823457,-,+,,8.844935591952018,412.42500000000007,117.58,2.0,8.0,4.0,1.5574999999999997,0.6629469873983145
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)C(F)(F)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,256.0,https://doi.org/10.1016/j.bmcl.2022.128885,1d,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,465.407,550.056187380078,2.74040705426292,-,+,,8.884273883353071,465.407,91.56000000000002,1.0,7.0,4.0,2.9941000000000013,0.5926459723695465
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,2.0,https://doi.org/10.1016/j.bmcl.2022.128885,1e,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,4.861011527888836,0.6867266510051271,-,+,,8.844935591952018,411.4370000000002,91.56,1.0,7.0,4.0,2.28372,0.7042293500328689
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,1.0,https://doi.org/10.1016/j.bmcl.2022.128885,1f,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,425.4640000000002,2.35037511986913,0.3711371812028456,-,+,,8.858125234884326,425.4640000000002,91.56,1.0,7.0,5.0,2.5377,0.6716503455026334
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,2.0,https://doi.org/10.1016/j.bmcl.2022.128885,1g,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.4360000000002,4.67906306441198,0.6701588986526537,-,+,,8.858125234884326,427.4360000000002,100.79,1.0,8.0,5.0,1.9839,0.6598464379104847
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,128.0,https://doi.org/10.1016/j.bmcl.2022.128885,1h,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,415.4,308.1367356764564,2.488743477448788,-,+,,8.844935591952018,415.4,91.56000000000002,1.0,7.0,4.0,2.1144,0.697887070158831
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)Br)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,128.0,https://doi.org/10.1016/j.bmcl.2022.128885,1i,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,476.306,268.7348049363224,2.42932391731856,-,+,,8.844935591952018,476.306,91.56000000000002,1.0,7.0,4.0,2.7378,0.6194617004068101
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,1.0,https://doi.org/10.1016/j.bmcl.2022.128885,1j,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,409.42100000000016,2.442473639603244,0.3878298852929073,-,+,,8.844935591952018,409.42100000000016,91.56,1.0,7.0,4.0,2.2903,0.7068874719535575
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,8.0,https://doi.org/10.1016/j.bmcl.2022.128885,1k,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,18.892520451153377,1.276289901013844,-,+,,8.858125234884326,423.4480000000002,91.56,1.0,7.0,4.0,2.59872,0.6896679358497614
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=CC(=N5)C(F)(F)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,32.0,https://doi.org/10.1016/j.bmcl.2022.128885,1l,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,477.41800000000006,67.02721723940026,1.826251189218284,-,+,,8.89722879283236,477.41800000000006,91.56000000000002,1.0,7.0,4.0,3.3091000000000017,0.5768309136821332
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,8.0,https://doi.org/10.1016/j.bmcl.2022.128885,1m,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,18.892520451153377,1.276289901013844,-,+,,8.858125234884326,423.4480000000002,91.56,1.0,7.0,4.0,2.59872,0.6896679358497614
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,4.0,https://doi.org/10.1016/j.bmcl.2022.128885,1n,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,437.47500000000025,9.143379621692665,0.9611067515062468,-,+,,8.871238734620038,437.47500000000025,91.56,1.0,7.0,5.0,2.8527000000000005,0.6562654735430857
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,4.0,https://doi.org/10.1016/j.bmcl.2022.128885,1o,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,439.4470000000002,9.102349088741072,0.9591534873345932,-,+,,8.871238734620038,439.4470000000002,100.79,1.0,8.0,5.0,2.2989,0.6464599281678045
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,8.0,https://doi.org/10.1016/j.bmcl.2022.128885,1p,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,18.71734700323576,1.2722442918643466,-,+,,8.858125234884326,427.41100000000006,91.56000000000002,1.0,7.0,4.0,2.4294,0.6838163598799049
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,128.0,https://doi.org/10.1016/j.bmcl.2022.128885,1q,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,299.47755205177214,2.476364274520272,-,+,,8.858125234884326,427.41100000000006,91.56000000000002,1.0,7.0,4.0,2.4294,0.6838163598799049
O=C(OCC)C1=C(NC(=O)NC1C=2OC=CC2)CN3C=NC=4C=CC=CC43,"E. c., E.coli",,128.0,10.1002/cjoc.202200326 (https://onlinelibrary.wiley.com/doi/epdf/10.1002/cjoc.202200326),5a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,366.37700000000007,349.36690894897873,2.54328176744302,-,+,повтор,8.975829585839916,366.37700000000007,98.39,2.0,6.0,5.0,2.5006000000000013,0.6762278698406073
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c., E.coli",,64.0,10.1002/cjoc.202200326,5b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,382.44500000000016,167.3443240204473,2.223610986556937,-,+,,8.975829585839916,382.44500000000016,85.24999999999999,2.0,6.0,5.0,2.969100000000002,0.664582706602604
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c., E.coli",,64.0,10.1002/cjoc.202200326,5c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,396.47200000000015,161.42375754151612,2.2079674523804007,-,+,,8.987137334469544,396.47200000000015,85.24999999999999,2.0,6.0,5.0,3.2775200000000027,0.648375848493702
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c., E.coli",,64.0,10.1002/cjoc.202200326,6a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,461.3410000000002,138.72601828148802,2.142157921321188,-,+,,8.987137334469544,461.3410000000002,85.24999999999999,2.0,6.0,5.0,3.731600000000002,0.5675053493313962
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c., E.coli",,32.0,10.1002/cjoc.202200326,6b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,427.4420000000002,74.86395815104736,1.874272785077557,-,+,,9.009649424080628,427.4420000000002,128.39,2.0,8.0,6.0,2.8773000000000017,0.35359674236796385
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c., E.coli",,16.0,10.1002/cjoc.202200326,6c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,416.8900000000002,38.37942862625631,1.5840985048884808,-,+,,8.987137334469544,416.8900000000002,85.24999999999999,2.0,6.0,5.0,3.6225000000000014,0.6218556939069153
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c., E.coli",,128.0,10.1002/cjoc.202200326,6d,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,410.49900000000025,311.8156195264786,2.4938978661583304,-,+,,8.99841176784298,410.49900000000025,85.24999999999999,2.0,6.0,5.0,3.5859400000000026,0.6297576244591137
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c., E.coli",,16.0,10.1002/cjoc.202200326,6e,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,475.36800000000017,33.6581343296141,1.52709003936383,-,+,,8.99841176784298,475.36800000000017,85.24999999999999,2.0,6.0,5.0,4.040020000000003,0.5459352180465687
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c., E.coli",,32.0,10.1002/cjoc.202200326,6f,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,441.4690000000002,72.48527076646374,1.860249765540224,-,+,,9.020847209361584,441.4690000000002,128.39,2.0,8.0,6.0,3.1857200000000017,0.34342522921138896
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c., E.coli",,64.0,10.1002/cjoc.202200326,6g,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,430.91700000000014,148.52048074223106,2.171786346313348,-,+,,8.99841176784298,430.91700000000014,85.24999999999999,2.0,6.0,5.0,3.930920000000003,0.6003652415891257
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c., E.coli",,32.0,10.1002/cjoc.202200326,6h,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,424.5260000000002,75.37818649505562,1.8772456846569072,-,+,,9.009649424080628,424.5260000000002,85.24999999999999,2.0,6.0,5.0,3.8943600000000034,0.6086467107714063
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)CC,"E. C., Escherichia coli",,16.0,https://doi.org/10.1016/j.bmcl.2022.128885,1a,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,фторхинолон,,397.41000000000014,40.26068795450541,1.604881191622999,-,+,нет бензимидазола,8.831672371174363,397.41000000000014,91.56,1.0,7.0,4.0,1.9753,0.7196766644756158
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)CC,"E. C., Escherichia coli",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1b,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,155.55236889244276,2.191876629325033,-,+,,8.844935591952018,411.4370000000002,91.56,1.0,7.0,4.0,2.28372,0.7042293500328689
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)N)F)C(=O)O,"E. C., Escherichia coli",,4.0,https://doi.org/10.1016/j.bmcl.2022.128885,1c,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,412.42500000000007,9.69873310298842,0.9867150082543832,-,+,,8.844935591952018,412.42500000000007,117.58,2.0,8.0,4.0,1.5574999999999997,0.6629469873983145
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)C(F)(F)F)F)C(=O)O,"E. C., Escherichia coli",,256.0,https://doi.org/10.1016/j.bmcl.2022.128885,1d,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,465.407,550.056187380078,2.74040705426292,-,+,,8.884273883353071,465.407,91.56000000000002,1.0,7.0,4.0,2.9941000000000013,0.5926459723695465
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)CC,"E. C., Escherichia coli",,16.0,https://doi.org/10.1016/j.bmcl.2022.128885,1e,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,38.88809222311069,1.5898166379970706,-,+,,8.844935591952018,411.4370000000002,91.56,1.0,7.0,4.0,2.28372,0.7042293500328689
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)CC,"E. C., Escherichia coli",,16.0,https://doi.org/10.1016/j.bmcl.2022.128885,1f,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,425.4640000000002,37.60600191790608,1.5752571638587705,-,+,,8.858125234884326,425.4640000000002,91.56,1.0,7.0,5.0,2.5377,0.6716503455026334
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)CC,"E. C., Escherichia coli",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1g,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.4360000000002,149.73001806118336,2.17530887697256,-,+,,8.858125234884326,427.4360000000002,100.79,1.0,8.0,5.0,1.9839,0.6598464379104847
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)F)F)C(=O)O,"E. C., Escherichia coli",,16.0,https://doi.org/10.1016/j.bmcl.2022.128885,1h,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,415.4,38.51709195955705,1.5856534904568444,-,+,,8.844935591952018,415.4,91.56000000000002,1.0,7.0,4.0,2.1144,0.697887070158831
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)Br)F)C(=O)O,"E. C., Escherichia coli",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1i,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,476.306,134.3674024681612,2.128293921654578,-,+,,8.844935591952018,476.306,91.56000000000002,1.0,7.0,4.0,2.7378,0.6194617004068101
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)C5CC5,"E. C., Escherichia coli",,8.0,https://doi.org/10.1016/j.bmcl.2022.128885,1j,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,409.42100000000016,19.53978911682595,1.290919872284851,-,+,,8.844935591952018,409.42100000000016,91.56,1.0,7.0,4.0,2.2903,0.7068874719535575
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)C5CC5,"E. C., Escherichia coli",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1k,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,151.14016360922702,2.1793798880057875,-,+,,8.858125234884326,423.4480000000002,91.56,1.0,7.0,4.0,2.59872,0.6896679358497614
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=CC(=N5)C(F)(F)F)F)C(=O)O,"E. C., Escherichia coli",,128.0,https://doi.org/10.1016/j.bmcl.2022.128885,1l,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,477.41800000000006,268.10886895760103,2.428311180546246,-,+,,8.89722879283236,477.41800000000006,91.56000000000002,1.0,7.0,4.0,3.3091000000000017,0.5768309136821332
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)C5CC5,"E. C., Escherichia coli",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1m,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,151.14016360922702,2.1793798880057875,-,+,,8.858125234884326,423.4480000000002,91.56,1.0,7.0,4.0,2.59872,0.6896679358497614
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)C5CC5,"E. C., Escherichia coli",,8.0,https://doi.org/10.1016/j.bmcl.2022.128885,1n,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,437.47500000000025,18.28675924338533,1.2621367471702278,-,+,,8.871238734620038,437.47500000000025,91.56,1.0,7.0,5.0,2.8527000000000005,0.6562654735430857
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)C5CC5,"E. C., Escherichia coli",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1o,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,439.4470000000002,145.63758541985715,2.163273469990518,-,+,,8.871238734620038,439.4470000000002,100.79,1.0,8.0,5.0,2.2989,0.6464599281678045
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C., Escherichia coli",,128.0,https://doi.org/10.1016/j.bmcl.2022.128885,1p,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,299.47755205177214,2.476364274520272,-,+,,8.858125234884326,427.41100000000006,91.56000000000002,1.0,7.0,4.0,2.4294,0.6838163598799049
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C., Escherichia coli",,64.0,https://doi.org/10.1016/j.bmcl.2022.128885,1q,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,149.73877602588607,2.1753342788562904,-,+,,8.858125234884326,427.41100000000006,91.56000000000002,1.0,7.0,4.0,2.4294,0.6838163598799049
O=C(NN=C(C=1C=CC=CC1)C)CN2N=NC(=C2)CSC3=NC=4C=CC=CC4N3,E. coli,6.25,,https://doi.org/10.3390/antibiotics12071220,3a,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,405.4870000000001,6.25,0.7958800173440752,-,+,,8.831672371174363,405.4870000000001,100.85,2.0,7.0,7.0,2.9871000000000008,0.27963372723370045
O=C(NN=C(C1=CC=C(OC)C=C1)C)CN2N=NC(=C2)CSC3=NC=4C=CC=CC4N3,E. coli,6.25,,https://doi.org/10.3390/antibiotics12071220,3f,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,435.51300000000015,6.25,0.7958800173440752,-,+,,8.858125234884326,435.51300000000015,110.07999999999998,2.0,8.0,8.0,2.9957000000000003,0.25010606810341435
O=C(NN=CC=1C=CC=C(Br)C1)CN2N=NC(=C2)CSC3=NC=4C=CC=CC4N3,E. coli,3.125,,https://doi.org/10.3390/antibiotics12071220,2d,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,470.3560000000001,3.125,0.494850021680094,-,+,,8.831672371174363,470.3560000000001,100.85,2.0,7.0,7.0,3.359500000000001,0.24517893150698475
